apantisi,date,timi
Οικονομία,Sep-20,8.1
Οικονομία,Jan-21,8.1
Πανδημία Covid-19,Sep-20,7.5
Πανδημία Covid-19,Jan-21,8
Ελληνοτουρκικές σχέσεις,Sep-20,7.8
Ελληνοτουρκικές σχέσεις,Jan-21,7.6
Κλιματική αλλαγή,Sep-20,7.7
Κλιματική αλλαγή,Jan-21,7.5
Μεταναστευτικό/Προσφυγικό ,Sep-20,8.1
Μεταναστευτικό/Προσφυγικό ,Jan-21,7.4
Δημογραφικό,Sep-20,7.3
Δημογραφικό,Jan-21,7
