apantisi,date,timi
Pros swsti,Apr-20,85.7
Pros lathos,Apr-20,9.6
oute,Apr-20,3.2
dg,Apr-20,1.5
Pros swsti,Sep-20,56.6
Pros lathos,Sep-20,30.7
oute,Sep-20,7.7
dg,Sep-20,5
Pros swsti,Dec-20,54.4
Pros lathos,Dec-20,34.6
oute,Dec-20,6
dg,Dec-20,4.9
Pros swsti,Jan-21,51.4
Pros lathos,Jan-21,36.3
oute,Jan-21,7.2
dg,Jan-21,5
Pros swsti,Mar-21,45.8
Pros lathos,Mar-21,44.3
oute,Mar-21,5.5
dg,Mar-21,4.4
Pros swsti,May-21,57.2
Pros lathos,May-21,32.3
oute,May-21,7.5
dg,May-21,3.1
