freq;unit;coicop;geo\TIME_PERIOD,2019-03 ,2019-04 ,2019-05 ,2019-06 ,2019-07 ,2019-08 ,2019-09 ,2019-10 ,2019-11 ,2019-12 ,2020-01 ,2020-02 ,2020-03 ,2020-04 ,2020-05 ,2020-06 ,2020-07 ,2020-08 ,2020-09 ,2020-10 ,2020-11 ,2020-12 ,2021-01 ,2021-02 ,2021-03,metavoli 
Food and beverages,1.1,1.1,0.3,-1,-1.6,-2.1,-2.1,-1.4,-0.2,0.6,0.2,0.1,0.1,1.1,2,3.9,2.1,2.2,2.7,2,1.9,0.8,-0.6,-0.6,-0.2,1.6
"Alcohol, tobacco",1.4,1.2,1.2,1,0.6,0.7,0.6,0.2,0.4,0,0.3,-0.2,0.2,0,0.1,0.3,0.1,0.2,0.1,0.2,-0.2,-0.2,-0.2,0.1,-0.3,0.1
"Clothing, shoes",-3.8,-1.7,0.4,-0.1,0.1,-0.3,-0.1,-0.5,-0.1,0.4,-0.5,-0.2,12.9,0.2,3.5,-1.7,3.4,2.1,-0.2,-0.5,-3.7,-3,-4.1,-0.7,-17,1.0
"Housing, electricity, gas etc.",1.7,1.3,-0.1,-0.1,-0.2,-0.2,0.9,-2.4,-1.8,0.1,0.5,-1,-3,-5,-4.9,-5.2,-5.2,-5.3,-6.3,-4.7,-4.6,-4.3,-3.6,-2.1,0.1,-4.1
Household equipment,-1.5,-1.9,-2,-1.9,-2.1,-1.6,-2.4,-2.6,-0.7,-1.5,-0.7,-0.9,-1.5,-1.8,-0.9,-1.5,-1,-1.5,-1.3,-1.2,-3,-2.7,-2.1,-2.1,-2,-1.5
Health,1.1,0.7,0.7,0.7,2.3,1.9,1.8,1.8,1.9,1.9,1.6,1.5,1.6,1.4,1.4,1.5,-0.7,-1.1,-1.3,-1.2,-1.2,-1.2,-1.2,-1.1,-1.1,0.2
Transport,1.9,3.5,0.8,0.4,2.5,1.8,1.2,0.3,2.2,2.9,3.9,2.9,-0.7,-3.6,-4.1,-8.4,-8.6,-8,-7.4,-6.8,-6.5,-7.5,-5.7,-5.1,-3.1,-4.6
Communication,7,3.5,3.6,3.7,3.8,2.8,2.9,2.8,2.6,1.1,1,-0.6,-1.7,-2.3,-2.2,-2.3,-1.7,-2,-2.3,-2.4,-2.2,-2,-1.9,-1.7,-1.5,-1.7
Recreation and culture,-0.7,-0.5,-0.6,-0.7,-0.7,-0.7,-0.6,-0.7,-0.8,-1.1,-0.6,-0.7,-0.7,-0.8,-0.5,-0.6,-0.7,-0.8,-0.9,-0.7,-0.6,-0.1,-0.4,-0.2,-0.2,-0.6
Education,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.2,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.1,0,0,0,0,0,0.4
"Restaurants, hotels",0.7,0.6,1.2,1.4,0.8,0,0.8,0.1,0.7,2,1.7,0.6,0.6,0.5,0.1,-2.9,-2.3,-2.9,-3.6,-2.8,-2,-1.8,-1.8,-1.3,-1.6,-1.2
Miscellaneous,-0.4,-0.7,-1.1,-0.9,-1.3,-0.6,-0.3,-1,0.6,0.2,-0.3,-0.9,-0.8,-0.7,-0.7,-0.8,-0.8,-1.7,-1.4,-1.2,-2.2,-2.4,-1.9,-1.3,-1.1,-1.2
